strd_yr|sopsrt_clsf_cd|std_adstrd_cd|adstrd_nm|lnno_adres|exche_gtn|la|lo|data_no
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|524573.000|37.5643044991|126.9011979771|18
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|570967.000|37.5643044991|126.9011979771|19
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|576441.000|37.5643044991|126.9011979771|20
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|593150.000|37.5643044991|126.9011979771|21
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|598184.000|37.5643044991|126.9011979771|22
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|618212.000|37.5643044991|126.9011979771|23
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|620106.000|37.5643044991|126.9011979771|24
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|782123.000|37.5643044991|126.9011979771|25
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|784314.000|37.5643044991|126.9011979771|26
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|785256.000|37.5643044991|126.9011979771|27
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|786517.000|37.5643044991|126.9011979771|28
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|822397.000|37.5643044991|126.9011979771|29
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|848644.000|37.5643044991|126.9011979771|30
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|1286848.000|37.5643044991|126.9011979771|31
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|1463317.000|37.5643044991|126.9011979771|32
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|1608187.000|37.5643044991|126.9011979771|33
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|1632653.000|37.5643044991|126.9011979771|34
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|1633250.000|37.5643044991|126.9011979771|35
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|1768537.000|37.5643044991|126.9011979771|36
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|3004535.000|37.5643044991|126.9011979771|37
2021|PB|11440730|성산2동|서울시 마포구 월드컵로 207 성산단지|3652305.000|37.5643044991|126.9011979771|38
2021|PB|11290575|동선동|서울시 동소문로13나길 96|717060.000|37.5956313344|127.0152738513|1
2021|PB|11305535|미아동|서울시 도봉로78길 21-6|2142857.000|37.6340362764|127.0248653713|1
2021|PB|11350695|상계6.7동|서울시 노원구 덕릉로70가길 101|968661.000|37.6417761899|127.0571075246|1
2021|PB|11350580|월계3동|서울시 노원구 월계로 372|440171.000|37.6298957470|127.0604326358|1
2021|PB|11350580|월계3동|서울시 노원구 월계로 372|470588.000|37.6298957470|127.0604326358|2
2021|PB|11350580|월계3동|서울시 노원구 월계로 372|485043.000|37.6298957470|127.0604326358|3
2021|PB|11350580|월계3동|서울시 노원구 월계로 372|500000.000|37.6298957470|127.0604326358|4
2021|PB|11350580|월계3동|서울시 노원구 월계로 372|505263.000|37.6298957470|127.0604326358|5
2021|PB|11350580|월계3동|서울시 노원구 월계로 372|506410.000|37.6298957470|127.0604326358|6
2021|PB|11350580|월계3동|서울시 노원구 월계로 372|512821.000|37.6298957470|127.0604326358|7
2021|PB|11350580|월계3동|서울시 노원구 월계로 372|513514.000|37.6298957470|127.0604326358|8
2021|PB|11350580|월계3동|서울시 노원구 월계로 372|518182.000|37.6298957470|127.0604326358|9
